year,month,path,rows,min_open_time,max_open_time
2019,9,.\data\BTCUSDT\1h\klines_2019_09.csv,181,2019-09-23 08:00:00+00:00,2019-10-01 00:00:00+00:00
2019,10,.\data\BTCUSDT\1h\klines_2019_10.csv,745,2019-10-01 00:00:00+00:00,2019-11-01 00:00:00+00:00
2019,11,.\data\BTCUSDT\1h\klines_2019_11.csv,721,2019-11-01 00:00:00+00:00,2019-12-01 00:00:00+00:00
2019,12,.\data\BTCUSDT\1h\klines_2019_12.csv,745,2019-12-01 00:00:00+00:00,2020-01-01 00:00:00+00:00
2020,1,.\data\BTCUSDT\1h\klines_2020_01.csv,745,2020-01-01 00:00:00+00:00,2020-02-01 00:00:00+00:00
2020,2,.\data\BTCUSDT\1h\klines_2020_02.csv,697,2020-02-01 00:00:00+00:00,2020-03-01 00:00:00+00:00
2020,3,.\data\BTCUSDT\1h\klines_2020_03.csv,745,2020-03-01 00:00:00+00:00,2020-04-01 00:00:00+00:00
2020,4,.\data\BTCUSDT\1h\klines_2020_04.csv,712,2020-04-01 00:00:00+00:00,2020-05-01 00:00:00+00:00
2020,5,.\data\BTCUSDT\1h\klines_2020_05.csv,745,2020-05-01 00:00:00+00:00,2020-06-01 00:00:00+00:00
2020,6,.\data\BTCUSDT\1h\klines_2020_06.csv,721,2020-06-01 00:00:00+00:00,2020-07-01 00:00:00+00:00
2020,7,.\data\BTCUSDT\1h\klines_2020_07.csv,735,2020-07-01 00:00:00+00:00,2020-08-01 00:00:00+00:00
2020,8,.\data\BTCUSDT\1h\klines_2020_08.csv,740,2020-08-01 00:00:00+00:00,2020-09-01 00:00:00+00:00
2020,9,.\data\BTCUSDT\1h\klines_2020_09.csv,721,2020-09-01 00:00:00+00:00,2020-10-01 00:00:00+00:00
2020,10,.\data\BTCUSDT\1h\klines_2020_10.csv,745,2020-10-01 00:00:00+00:00,2020-11-01 00:00:00+00:00
2020,11,.\data\BTCUSDT\1h\klines_2020_11.csv,721,2020-11-01 00:00:00+00:00,2020-12-01 00:00:00+00:00
2020,12,.\data\BTCUSDT\1h\klines_2020_12.csv,745,2020-12-01 00:00:00+00:00,2021-01-01 00:00:00+00:00
2021,1,.\data\BTCUSDT\1h\klines_2021_01.csv,742,2021-01-01 00:00:00+00:00,2021-02-01 00:00:00+00:00
2021,2,.\data\BTCUSDT\1h\klines_2021_02.csv,673,2021-02-01 00:00:00+00:00,2021-03-01 00:00:00+00:00
2021,3,.\data\BTCUSDT\1h\klines_2021_03.csv,745,2021-03-01 00:00:00+00:00,2021-04-01 00:00:00+00:00
2021,4,.\data\BTCUSDT\1h\klines_2021_04.csv,721,2021-04-01 00:00:00+00:00,2021-05-01 00:00:00+00:00
2021,5,.\data\BTCUSDT\1h\klines_2021_05.csv,745,2021-05-01 00:00:00+00:00,2021-06-01 00:00:00+00:00
2021,6,.\data\BTCUSDT\1h\klines_2021_06.csv,714,2021-06-01 00:00:00+00:00,2021-07-01 00:00:00+00:00
2021,7,.\data\BTCUSDT\1h\klines_2021_07.csv,745,2021-07-01 00:00:00+00:00,2021-08-01 00:00:00+00:00
2021,8,.\data\BTCUSDT\1h\klines_2021_08.csv,745,2021-08-01 00:00:00+00:00,2021-09-01 00:00:00+00:00
2021,9,.\data\BTCUSDT\1h\klines_2021_09.csv,721,2021-09-01 00:00:00+00:00,2021-10-01 00:00:00+00:00
2021,10,.\data\BTCUSDT\1h\klines_2021_10.csv,745,2021-10-01 00:00:00+00:00,2021-11-01 00:00:00+00:00
2021,11,.\data\BTCUSDT\1h\klines_2021_11.csv,721,2021-11-01 00:00:00+00:00,2021-12-01 00:00:00+00:00
2021,12,.\data\BTCUSDT\1h\klines_2021_12.csv,745,2021-12-01 00:00:00+00:00,2022-01-01 00:00:00+00:00
2022,1,.\data\BTCUSDT\1h\klines_2022_01.csv,745,2022-01-01 00:00:00+00:00,2022-02-01 00:00:00+00:00
2022,2,.\data\BTCUSDT\1h\klines_2022_02.csv,673,2022-02-01 00:00:00+00:00,2022-03-01 00:00:00+00:00
2022,3,.\data\BTCUSDT\1h\klines_2022_03.csv,745,2022-03-01 00:00:00+00:00,2022-04-01 00:00:00+00:00
2022,4,.\data\BTCUSDT\1h\klines_2022_04.csv,721,2022-04-01 00:00:00+00:00,2022-05-01 00:00:00+00:00
2022,5,.\data\BTCUSDT\1h\klines_2022_05.csv,745,2022-05-01 00:00:00+00:00,2022-06-01 00:00:00+00:00
2022,6,.\data\BTCUSDT\1h\klines_2022_06.csv,721,2022-06-01 00:00:00+00:00,2022-07-01 00:00:00+00:00
2022,7,.\data\BTCUSDT\1h\klines_2022_07.csv,745,2022-07-01 00:00:00+00:00,2022-08-01 00:00:00+00:00
2022,8,.\data\BTCUSDT\1h\klines_2022_08.csv,745,2022-08-01 00:00:00+00:00,2022-09-01 00:00:00+00:00
2022,9,.\data\BTCUSDT\1h\klines_2022_09.csv,721,2022-09-01 00:00:00+00:00,2022-10-01 00:00:00+00:00
2022,10,.\data\BTCUSDT\1h\klines_2022_10.csv,745,2022-10-01 00:00:00+00:00,2022-11-01 00:00:00+00:00
2022,11,.\data\BTCUSDT\1h\klines_2022_11.csv,721,2022-11-01 00:00:00+00:00,2022-12-01 00:00:00+00:00
2022,12,.\data\BTCUSDT\1h\klines_2022_12.csv,745,2022-12-01 00:00:00+00:00,2023-01-01 00:00:00+00:00
2023,1,.\data\BTCUSDT\1h\klines_2023_01.csv,745,2023-01-01 00:00:00+00:00,2023-02-01 00:00:00+00:00
2023,2,.\data\BTCUSDT\1h\klines_2023_02.csv,618,2023-02-03 00:00:00+00:00,2023-03-01 00:00:00+00:00
2023,3,.\data\BTCUSDT\1h\klines_2023_03.csv,745,2023-03-01 00:00:00+00:00,2023-04-01 00:00:00+00:00
2023,4,.\data\BTCUSDT\1h\klines_2023_04.csv,721,2023-04-01 00:00:00+00:00,2023-05-01 00:00:00+00:00
2023,5,.\data\BTCUSDT\1h\klines_2023_05.csv,745,2023-05-01 00:00:00+00:00,2023-06-01 00:00:00+00:00
2023,6,.\data\BTCUSDT\1h\klines_2023_06.csv,721,2023-06-01 00:00:00+00:00,2023-07-01 00:00:00+00:00
2023,7,.\data\BTCUSDT\1h\klines_2023_07.csv,745,2023-07-01 00:00:00+00:00,2023-08-01 00:00:00+00:00
2023,8,.\data\BTCUSDT\1h\klines_2023_08.csv,745,2023-08-01 00:00:00+00:00,2023-09-01 00:00:00+00:00
2023,9,.\data\BTCUSDT\1h\klines_2023_09.csv,721,2023-09-01 00:00:00+00:00,2023-10-01 00:00:00+00:00
2023,10,.\data\BTCUSDT\1h\klines_2023_10.csv,745,2023-10-01 00:00:00+00:00,2023-11-01 00:00:00+00:00
2023,11,.\data\BTCUSDT\1h\klines_2023_11.csv,721,2023-11-01 00:00:00+00:00,2023-12-01 00:00:00+00:00
2023,12,.\data\BTCUSDT\1h\klines_2023_12.csv,745,2023-12-01 00:00:00+00:00,2024-01-01 00:00:00+00:00
2024,1,.\data\BTCUSDT\1h\klines_2024_01.csv,745,2024-01-01 00:00:00+00:00,2024-02-01 00:00:00+00:00
2024,2,.\data\BTCUSDT\1h\klines_2024_02.csv,697,2024-02-01 00:00:00+00:00,2024-03-01 00:00:00+00:00
2024,3,.\data\BTCUSDT\1h\klines_2024_03.csv,745,2024-03-01 00:00:00+00:00,2024-04-01 00:00:00+00:00
2024,4,.\data\BTCUSDT\1h\klines_2024_04.csv,721,2024-04-01 00:00:00+00:00,2024-05-01 00:00:00+00:00
2024,5,.\data\BTCUSDT\1h\klines_2024_05.csv,745,2024-05-01 00:00:00+00:00,2024-06-01 00:00:00+00:00
2024,6,.\data\BTCUSDT\1h\klines_2024_06.csv,721,2024-06-01 00:00:00+00:00,2024-07-01 00:00:00+00:00
2024,7,.\data\BTCUSDT\1h\klines_2024_07.csv,745,2024-07-01 00:00:00+00:00,2024-08-01 00:00:00+00:00
2024,8,.\data\BTCUSDT\1h\klines_2024_08.csv,745,2024-08-01 00:00:00+00:00,2024-09-01 00:00:00+00:00
2024,9,.\data\BTCUSDT\1h\klines_2024_09.csv,721,2024-09-01 00:00:00+00:00,2024-10-01 00:00:00+00:00
2024,10,.\data\BTCUSDT\1h\klines_2024_10.csv,745,2024-10-01 00:00:00+00:00,2024-11-01 00:00:00+00:00
2024,11,.\data\BTCUSDT\1h\klines_2024_11.csv,721,2024-11-01 00:00:00+00:00,2024-12-01 00:00:00+00:00
2024,12,.\data\BTCUSDT\1h\klines_2024_12.csv,745,2024-12-01 00:00:00+00:00,2025-01-01 00:00:00+00:00
