year,month,path,rows,min_open_time,max_open_time
2025,1,.\data\BTCUSDT\5m\klines_2025_01.csv,8929,2025-01-01 00:00:00+00:00,2025-02-01 00:00:00+00:00
2025,2,.\data\BTCUSDT\5m\klines_2025_02.csv,8065,2025-02-01 00:00:00+00:00,2025-03-01 00:00:00+00:00
2025,3,.\data\BTCUSDT\5m\klines_2025_03.csv,8929,2025-03-01 00:00:00+00:00,2025-04-01 00:00:00+00:00
2025,4,.\data\BTCUSDT\5m\klines_2025_04.csv,8641,2025-04-01 00:00:00+00:00,2025-05-01 00:00:00+00:00
2025,5,.\data\BTCUSDT\5m\klines_2025_05.csv,8929,2025-05-01 00:00:00+00:00,2025-06-01 00:00:00+00:00
2025,6,.\data\BTCUSDT\5m\klines_2025_06.csv,8641,2025-06-01 00:00:00+00:00,2025-07-01 00:00:00+00:00
2025,7,.\data\BTCUSDT\5m\klines_2025_07.csv,8929,2025-07-01 00:00:00+00:00,2025-08-01 00:00:00+00:00
2025,8,.\data\BTCUSDT\5m\klines_2025_08.csv,8929,2025-08-01 00:00:00+00:00,2025-09-01 00:00:00+00:00
2025,9,.\data\BTCUSDT\5m\klines_2025_09.csv,8641,2025-09-01 00:00:00+00:00,2025-10-01 00:00:00+00:00
2025,10,.\data\BTCUSDT\5m\klines_2025_10.csv,8929,2025-10-01 00:00:00+00:00,2025-11-01 00:00:00+00:00
2025,11,.\data\BTCUSDT\5m\klines_2025_11.csv,8641,2025-11-01 00:00:00+00:00,2025-12-01 00:00:00+00:00
2025,12,.\data\BTCUSDT\5m\klines_2025_12.csv,6913,2025-12-01 00:00:00+00:00,2025-12-25 00:00:00+00:00
